CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clin.Especializada por Município
Período:Jul/2024
"Município";"Clin.Especializada"
"353020 MIRANTE DO PARANAPANEMA";12
"353030 MIRASSOL";41
"353050 MOCOCA";203
"353060 MOGI DAS CRUZES";430
"353070 MOGI GUACU";168
"353080 MOGI MIRIM";119
"353110 MONGAGUA";33
"353120 MONTE ALEGRE DO SUL";3
"353130 MONTE ALTO";37
"353140 MONTE APRAZIVEL";16
"353150 MONTE AZUL PAULISTA";7
"353180 MONTE MOR";14
"353190 MORRO AGUDO";14
"353200 MORUNGABA";20
"353205 MOTUCA";2
"353220 NARANDIBA";2
"353240 NAZARE PAULISTA";13
"353250 NEVES PAULISTA";2
"353260 NHANDEARA";3
"353280 NOVA ALIANCA";7
"353282 NOVA CAMPINA";9
"353284 NOVA CANAA PAULISTA";4
"353290 NOVA EUROPA";1
"353300 NOVA GRANADA";21
"353320 NOVA INDEPENDENCIA";1
"353325 NOVAIS";2
"353340 NOVA ODESSA";27
"353350 NOVO HORIZONTE";51
"353360 NUPORANGA";8
"353370 OCAUCU";2
"353390 OLIMPIA";86
"353420 ORINDIUVA";1
"353430 ORLANDIA";48
"353440 OSASCO";821
"353460 OSVALDO CRUZ";40
"353470 OURINHOS";192
"353475 OUROESTE";15
"353480 OURO VERDE";1
"353490 PACAEMBU";3
"353500 PALESTINA";1
"353520 PALMEIRA D'OESTE";2
"353530 PALMITAL";14
"353550 PARAGUACU PAULISTA";26
"353560 PARAIBUNA";5
"353580 PARANAPANEMA";1
"353610 PARDINHO";2
"353620 PARIQUERA-ACU";46
"353630 PATROCINIO PAULISTA";4
"353650 PAULINIA";99
"353670 PEDERNEIRAS";18
"353710 PEDREIRA";20
"353730 PENAPOLIS";51
"353740 PEREIRA BARRETO";29
"353750 PEREIRAS";5
"353760 PERUIBE";39
"353770 PIACATU";6
"353780 PIEDADE";21
"353790 PILAR DO SUL";9
"353800 PINDAMONHANGABA";138
"353810 PINDORAMA";11
"353820 PINHALZINHO";2
"353850 PIQUETE";3
"353860 PIRACAIA";17
"353870 PIRACICABA";700
"353880 PIRAJU";16
"353890 PIRAJUI";22
"353900 PIRANGI";13
"353910 PIRAPORA DO BOM JESUS";2
"353920 PIRAPOZINHO";14
"353930 PIRASSUNUNGA";87
"353950 PITANGUEIRAS";15
"353980 POA";40
"353990 POLONI";3
"354000 POMPEIA";40
"354020 PONTAL";17
"354050 PORANGABA";9
"354060 PORTO FELIZ";35
"354070 PORTO FERREIRA";64
"354075 POTIM";1
"354080 POTIRENDABA";3
"354090 PRADOPOLIS";19
"354100 PRAIA GRANDE";198
"354105 PRATANIA";4
"354120 PRESIDENTE BERNARDES";7
"354130 PRESIDENTE EPITACIO";18
"354140 PRESIDENTE PRUDENTE";871
"354150 PRESIDENTE VENCESLAU";48
"354160 PROMISSAO";56
"354165 QUADRA";1
"354170 QUATA";7
"354190 QUELUZ";4
"354200 QUINTANA";6
"354220 RANCHARIA";12
"354230 REDENCAO DA SERRA";2
"354240 REGENTE FEIJO";10
"354260 REGISTRO";95
"354280 RIBEIRA";5
"354290 RIBEIRAO BONITO";13
"354300 RIBEIRAO BRANCO";11
"354320 RIBEIRAO DO SUL";3
"354325 RIBEIRAO GRANDE";9
"354330 RIBEIRAO PIRES";118
"354340 RIBEIRAO PRETO";1535
"354350 RIVERSUL";1
"354360 RIFAINA";1
"354370 RINCAO";3
"354390 RIO CLARO";263
"354400 RIO DAS PEDRAS";21
"354410 RIO GRANDE DA SERRA";2
"354420 RIOLANDIA";1
"354425 ROSANA";1
"354430 ROSEIRA";1
"354470 SAGRES";1
"354480 SALES";3
"354490 SALES OLIVEIRA";8
"354515 SALTINHO";5
"354520 SALTO";84
"354530 SALTO DE PIRAPORA";20
"354560 SANTA ADELIA";8
"354580 SANTA BARBARA D'OESTE";154
"354600 SANTA BRANCA";2
"354620 SANTA CRUZ DA CONCEICAO";2
"354625 SANTA CRUZ DA ESPERANCA";2
"354630 SANTA CRUZ DAS PALMEIRAS";15
"354640 SANTA CRUZ DO RIO PARDO";58
"354660 SANTA FE DO SUL";50
"354670 SANTA GERTRUDES";12
"354680 SANTA ISABEL";32
"354690 SANTA LUCIA";1
"354700 SANTA MARIA DA SERRA";3
"354710 SANTA MERCEDES";3
"354730 SANTANA DE PARNAIBA";36
"354750 SANTA RITA DO PASSA QUATRO";6
"354760 SANTA ROSA DE VITERBO";13
"354770 SANTO ANASTACIO";7
"354780 SANTO ANDRE";1093
"354790 SANTO ANTONIO DA ALEGRIA";12
"354800 SANTO ANTONIO DE POSSE";24
"354805 SANTO ANTONIO DO ARACANGUA";3
"354810 SANTO ANTONIO DO JARDIM";3
"354820 SANTO ANTONIO DO PINHAL";2
"354850 SANTOS";824
"354870 SAO BERNARDO DO CAMPO";909
"354880 SAO CAETANO DO SUL";392
"354890 SAO CARLOS";305
"354910 SAO JOAO DA BOA VISTA";265
"354940 SAO JOAQUIM DA BARRA";23
"354970 SAO JOSE DO RIO PARDO";90
"354980 SAO JOSE DO RIO PRETO";1175
"354990 SAO JOSE DOS CAMPOS";831
"354995 SAO LOURENCO DA SERRA";4
"355000 SAO LUIS DO PARAITINGA";2
"355010 SAO MANUEL";20
"355020 SAO MIGUEL ARCANJO";5
"355030 SAO PAULO";19571
"355040 SAO PEDRO";35
"355060 SAO ROQUE";110
"355070 SAO SEBASTIAO";119
"355080 SAO SEBASTIAO DA GRAMA";5
"355090 SAO SIMAO";15
"355100 SAO VICENTE";92
"355110 SARAPUI";10
"355130 SEBASTIANOPOLIS DO SUL";1
"355140 SERRA AZUL";4
"355150 SERRANA";81
"355160 SERRA NEGRA";20
"355170 SERTAOZINHO";98
"355180 SETE BARRAS";1
"355190 SEVERINIA";1
"355200 SILVEIRAS";2
"355210 SOCORRO";15
"355220 SOROCABA";1027
"355230 SUD MENNUCCI";2
"355240 SUMARE";175
"355250 SUZANO";176
"355260 TABAPUA";1
"355270 TABATINGA";10
"355280 TABOAO DA SERRA";103
"355290 TACIBA";1
"355310 TAIACU";1
"355330 TAMBAU";21
"355340 TANABI";18
"355350 TAPIRAI";2
"355360 TAPIRATIBA";5
"355370 TAQUARITINGA";77
"355380 TAQUARITUBA";12
"355390 TARABAI";1
"355395 TARUMA";15
"355400 TATUI";82
"355410 TAUBATE";497
"355430 TEODORO SAMPAIO";18
"355440 TERRA ROXA";4
"355450 TIETE";68
"355480 TREMEMBE";18
"355490 TRES FRONTEIRAS";1
"355495 TUIUTI";3
"355500 TUPA";119
"355510 TUPI PAULISTA";13
"355540 UBATUBA";55
"355560 UCHOA";4
"355580 URANIA";2
"355600 URUPES";13
"355610 VALENTIM GENTIL";4
"355620 VALINHOS";181
"355630 VALPARAISO";12
"355635 VARGEM";13
"355640 VARGEM GRANDE DO SUL";43
"355645 VARGEM GRANDE PAULISTA";49
"355650 VARZEA PAULISTA";29
"355660 VERA CRUZ";4
"355670 VINHEDO";106
"355680 VIRADOURO";6
"355690 VISTA ALEGRE DO ALTO";3
"355700 VOTORANTIM";67
"355710 VOTUPORANGA";244
"355720 CHAVANTES";6
"355730 ESTIVA GERBI";18
"410010 ABATIA";2
"410020 ADRIANOPOLIS";6
"410030 AGUDOS DO SUL";2
"410040 ALMIRANTE TAMANDARE";29
"410045 ALTAMIRA DO PARANA";2
"410050 ALTONIA";1
"410060 ALTO PARANA";7
"410070 ALTO PIQUIRI";1
"410080 ALVORADA DO SUL";2
"410100 AMPERE";10
"410110 ANDIRA";10
"410120 ANTONINA";2
"410130 ANTONIO OLINTO";1
"410140 APUCARANA";153
"410150 ARAPONGAS";124
"410160 ARAPOTI";15
"410165 ARAPUA";1
"410170 ARARUNA";22
"410180 ARAUCARIA";96
"410185 ARIRANHA DO IVAI";2
"410190 ASSAI";6
"410200 ASSIS CHATEAUBRIAND";36
"410210 ASTORGA";7
"410220 ATALAIA";1
"410230 BALSA NOVA";8
"410240 BANDEIRANTES";35
"410250 BARBOSA FERRAZ";1
"410260 BARRACAO";7
"410270 BARRA DO JACARE";1
"410275 BELA VISTA DA CAROBA";1
"410280 BELA VISTA DO PARAISO";16
"410290 BITURUNA";3
"410300 BOA ESPERANCA";1
"410302 BOA ESPERANCA DO IGUACU";1
"410310 BOCAIUVA DO SUL";4
"410322 BOM SUCESSO DO SUL";1
"410330 BORRAZOPOLIS";6
"410335 BRAGANEY";1
"410337 BRASILANDIA DO SUL";1
"410340 CAFEARA";3
"410345 CAFELANDIA";3
"410347 CAFEZAL DO SUL";1
"410350 CALIFORNIA";6
"410360 CAMBARA";7
"410370 CAMBE";45
"410380 CAMBIRA";9
"410390 CAMPINA DA LAGOA";10
"410400 CAMPINA GRANDE DO SUL";30
"410405 CAMPO BONITO";1
"410420 CAMPO LARGO";94
"410425 CAMPO MAGRO";19
"410430 CAMPO MOURAO";375
"410440 CANDIDO DE ABREU";5
"410442 CANDOI";2
"410445 CANTAGALO";1
"410450 CAPANEMA";8
"410460 CAPITAO LEONIDAS MARQUES";1
"410465 CARAMBEI";10
"410470 CARLOPOLIS";9
"410480 CASCAVEL";443
"410490 CASTRO";85
"410510 CENTENARIO DO SUL";1
"410530 CEU AZUL";3
"410540 CHOPINZINHO";27
"410550 CIANORTE";42
"410560 CIDADE GAUCHA";2
"410580 COLOMBO";144
"410590 COLORADO";24
"410620 CONTENDA";8
"410630 CORBELIA";3
"410640 CORNELIO PROCOPIO";113
"410645 CORONEL DOMINGOS SOARES";2
"410650 CORONEL VIVIDA";22
"410657 CRUZEIRO DO IGUACU";4
"410660 CRUZEIRO DO OESTE";8
"410680 CRUZ MACHADO";4
"410685 CRUZMALTINA";4
"410690 CURITIBA";3937
"410700 CURIUVA";6
"410715 DIAMANTE D'OESTE";1
"410720 DOIS VIZINHOS";136
"410725 DOURADINA";6
"410730 DOUTOR CAMARGO";2
"410740 ENEAS MARQUES";1
"410750 ENGENHEIRO BELTRAO";3
"410752 ESPERANCA NOVA";1
"410753 ENTRE RIOS DO OESTE";1
"410755 FAROL";1
"410760 FAXINAL";2
"410765 FAZENDA RIO GRANDE";34
"410770 FENIX";1
"410775 FIGUEIRA";4
"410790 FLORESTA";1
"410800 FLORESTOPOLIS";8
"410830 FOZ DO IGUACU";201
"410840 FRANCISCO BELTRAO";150
"410845 FOZ DO JORDAO";1
"410855 GODOY MOREIRA";4
"410860 GOIOERE";42
"410865 GOIOXIM";3
"410870 GRANDES RIOS";3
"410880 GUAIRA";17
"410890 GUAIRACA";1
"410895 GUAMIRANGA";4
"410910 GUAPOREMA";1
"410920 GUARACI";2
"410940 GUARAPUAVA";142
"410950 GUARAQUECABA";1
"410960 GUARATUBA";10
"410965 HONORIO SERPA";3
"410970 IBAITI";6
"410975 IBEMA";1
"410980 IBIPORA";25
"410990 ICARAIMA";1
"411000 IGUARACU";1
"411007 IMBAU";2
"411010 IMBITUVA";5
"411020 INACIO MARTINS";4
"411060 IPORA";1
"411070 IRATI";86
"411080 IRETAMA";4
"411095 ITAIPULANDIA";4
"411120 ITAPEJARA D'OESTE";3
"411125 ITAPERUCU";6
"411150 IVAIPORA";98
"411155 IVATE";2
"411170 JABOTI";2
"411180 JACAREZINHO";89
"411190 JAGUAPITA";4
"411200 JAGUARIAIVA";14
"411210 JANDAIA DO SUL";17
"411220 JANIOPOLIS";3
"411250 JARDIM ALEGRE";7
"411270 JATAIZINHO";3
"411280 JOAQUIM TAVORA";8
"411290 JUNDIAI DO SUL";2
"411295 JURANDA";4
"411310 KALORE";1
"411320 LAPA";30
"411330 LARANJEIRAS DO SUL";30
"411340 LEOPOLIS";3
"411342 LIDIANOPOLIS";4
"411350 LOANDA";26
"411360 LOBATO";4
"411370 LONDRINA";1173
"411373 LUIZIANA";3
"411375 LUNARDELLI";1
"411400 MAMBORE";20
"411410 MANDAGUACU";4
"411420 MANDAGUARI";21
"411430 MANDIRITUBA";2
"411440 MANGUEIRINHA";11
"411450 MANOEL RIBAS";7
"411460 MARECHAL CANDIDO RONDON";5
"411470 MARIA HELENA";3
"411480 MARIALVA";21
"411490 MARILANDIA DO SUL";4
"411520 MARINGA";1505
"411530 MARIOPOLIS";2
"411535 MARIPA";3
"411540 MARMELEIRO";9
"411545 MARQUINHO";3
"411550 MARUMBI";6
"411560 MATELANDIA";6
"411570 MATINHOS";33
"411573 MATO RICO";1
"411575 MAUA DA SERRA";4
"411580 MEDIANEIRA";87
"411605 MISSAL";2
"411610 MOREIRA SALES";2
"411620 MORRETES";5
"411640 NOSSA SENHORA DAS GRACAS";1
"411660 NOVA AMERICA DA COLINA";2
"411670 NOVA AURORA";2
"411690 NOVA ESPERANCA";19
"411695 NOVA ESPERANCA DO SUDOESTE";5
"411705 NOVA LARANJEIRAS";1
"411720 NOVA OLIMPIA";1
"411725 NOVA PRATA DO IGUACU";1
"411727 NOVA TEBAS";7
"411729 NOVO ITACOLOMI";4
"411730 ORTIGUEIRA";3
"411745 OURO VERDE DO OESTE";1
"411750 PAICANDU";19
"411760 PALMAS";30
"411770 PALMEIRA";25
"411790 PALOTINA";22
"411800 PARAISO DO NORTE";2
"411810 PARANACITY";5
"411820 PARANAGUA";115
"411840 PARANAVAI";76
"411845 PATO BRAGADO";3
"411850 PATO BRANCO";312
"411860 PAULA FREITAS";7
"411870 PAULO FRONTIN";6
"411880 PEABIRU";5
"411885 PEROBAL";2
"411890 PEROLA";2
"411900 PEROLA D'OESTE";1
"411910 PIEN";1
"411915 PINHAIS";85
"411920 PINHALAO";4
"411925 PINHAL DE SAO BENTO";2
"411930 PINHAO";8
"411940 PIRAI DO SUL";12
"411950 PIRAQUARA";9
"411960 PITANGA";9
"411980 PLANALTO";8
"411990 PONTA GROSSA";506
"411995 PONTAL DO PARANA";16
"412035 PRANCHITA";3
"412040 PRESIDENTE CASTELO BRANCO";1
"412050 PRIMEIRO DE MAIO";11
"412060 PRUDENTOPOLIS";7
"412065 QUARTO CENTENARIO";3
"412070 QUATIGUA";3
"412080 QUATRO BARRAS";23
"412085 QUATRO PONTES";3
"412090 QUEDAS DO IGUACU";12
"412100 QUERENCIA DO NORTE";1
"412110 QUINTA DO SOL";1
"412120 QUITANDINHA";7
"412125 RAMILANDIA";3
"412130 RANCHO ALEGRE";2
"412135 RANCHO ALEGRE D'OESTE";1
"412140 REALEZA";13
"412150 REBOUCAS";4
"412160 RENASCENCA";6
"412170 RESERVA";1
"412180 RIBEIRAO CLARO";11
"412200 RIO AZUL";2
"412210 RIO BOM";2
"412215 RIO BONITO DO IGUACU";2
"412220 RIO BRANCO DO SUL";9
"412230 RIO NEGRO";42
"412240 ROLANDIA";59
"412250 RONCADOR";7
"412265 ROSARIO DO IVAI";3
"412270 SABAUDIA";3
"412300 SALTO DO LONTRA";5
"412340 SANTA FE";1
"412350 SANTA HELENA";35
"412380 SANTA IZABEL DO OESTE";8
"412385 SANTA MARIA DO OESTE";6
"412390 SANTA MARIANA";4
"412400 SANTANA DO ITARARE";2
"412402 SANTA TEREZA DO OESTE";2
"412405 SANTA TEREZINHA DE ITAIPU";2
"412410 SANTO ANTONIO DA PLATINA";64
"412440 SANTO ANTONIO DO SUDOESTE";4
"412450 SANTO INACIO";6
"412470 SAO JERONIMO DA SERRA";4
"412480 SAO JOAO";5
"412500 SAO JOAO DO IVAI";10
"412520 SAO JORGE D'OESTE";4
"412530 SAO JORGE DO IVAI";4
"412535 SAO JORGE DO PATROCINIO";4
"412550 SAO JOSE DOS PINHAIS";232
"412560 SAO MATEUS DO SUL";31
"412570 SAO MIGUEL DO IGUACU";11
"412575 SAO PEDRO DO IGUACU";3
"412580 SAO PEDRO DO IVAI";7
"412600 SAO SEBASTIAO DA AMOREIRA";5
"412610 SAO TOME";4
"412625 SARANDI";51
"412630 SENGES";3
"412635 SERRANOPOLIS DO IGUACU";1
"412640 SERTANEJA";3
"412650 SERTANOPOLIS";24
"412660 SIQUEIRA CAMPOS";7
"412665 SULINA";3
"412667 TAMARANA";6
"412670 TAMBOARA";1
"412680 TAPEJARA";9
"412700 TEIXEIRA SOARES";1
"412710 TELEMACO BORBA";21
"412720 TERRA BOA";12
"412730 TERRA RICA";2
"412740 TERRA ROXA";4
"412750 TIBAGI";5
"412760 TIJUCAS DO SUL";3
"412770 TOLEDO";159
"412780 TOMAZINA";3
"412785 TRES BARRAS DO PARANA";1
"412796 TURVO";5
"412800 UBIRATA";32
"412810 UMUARAMA";331
"412820 UNIAO DA VITORIA";49
"412840 URAI";3
"412850 WENCESLAU BRAZ";7
"412853 VENTANIA";3
"412860 VERE";3
"412863 DOUTOR ULYSSES";2
"412865 VIRMOND";1
"412870 VITORINO";2
"412880 XAMBRE";1
"420010 ABELARDO LUZ";15
"420020 AGROLANDIA";4
"420040 AGUA DOCE";11
"420050 AGUAS DE CHAPECO";3
"420055 AGUAS FRIAS";4
"420060 AGUAS MORNAS";7
"420080 ANCHIETA";7
"420100 ANITA GARIBALDI";4
"420110 ANITAPOLIS";9
"420120 ANTONIO CARLOS";10
"420125 APIUNA";3
"420130 ARAQUARI";13
"420140 ARARANGUA";114
"420150 ARMAZEM";8
"420160 ARROIO TRINTA";8
"420170 ASCURRA";1
"420195 BALNEARIO ARROIO DO SILVA";4
"420200 BALNEARIO CAMBORIU";189
"420205 BALNEARIO BARRA DO SUL";4
"420207 BALNEARIO GAIVOTA";1
"420210 BARRA VELHA";22
"420215 BELMONTE";2
"420220 BENEDITO NOVO";1
"420230 BIGUACU";56
"420240 BLUMENAU";618
"420243 BOCAINA DO SUL";4
"420245 BOMBINHAS";29
"420250 BOM JARDIM DA SERRA";3
"420253 BOM JESUS";2
"420257 BOM JESUS DO OESTE";2
"420260 BOM RETIRO";6
"420270 BOTUVERA";2
"420280 BRACO DO NORTE";35
"420285 BRACO DO TROMBUDO";1
"420290 BRUSQUE";225
"420300 CACADOR";120
"420310 CAIBI";3
"420315 CALMON";1
"420320 CAMBORIU";30
"420330 CAMPO ALEGRE";2
"420340 CAMPO BELO DO SUL";6
"420350 CAMPO ERE";1
"420360 CAMPOS NOVOS";41
"420370 CANELINHA";6
"420380 CANOINHAS";137
"420390 CAPINZAL";5
"420395 CAPIVARI DE BAIXO";7
"420400 CATANDUVAS";7
"420410 CAXAMBU DO SUL";4
"420417 CERRO NEGRO";2
"420420 CHAPECO";358
"420425 COCAL DO SUL";19
"420430 CONCORDIA";104
"420435 CORDILHEIRA ALTA";2
"420440 CORONEL FREITAS";3
"420450 CORUPA";7
"420455 CORREIA PINTO";8
"420460 CRICIUMA";443
"420470 CUNHA PORA";7
"420475 CUNHATAI";6
"420480 CURITIBANOS";77
"420490 DESCANSO";4
"420500 DIONISIO CERQUEIRA";20
"420510 DONA EMMA";1
"420530 FAXINAL DOS GUEDES";6
"420540 FLORIANOPOLIS";1210
"420543 FORMOSA DO SUL";1
"420545 FORQUILHINHA";17
"420550 FRAIBURGO";66
"420560 GALVAO";1
"420570 GAROPABA";22
"420580 GARUVA";1
"420590 GASPAR";58
"420600 GOVERNADOR CELSO RAMOS";1
"420610 GRAO PARA";2
"420620 GRAVATAL";6
"420630 GUABIRUBA";15
"420640 GUARACIABA";8
"420650 GUARAMIRIM";28
"420660 GUARUJA DO SUL";8
"420670 HERVAL D'OESTE";30
"420680 IBICARE";3
"420690 IBIRAMA";38
"420700 ICARA";44
"420710 ILHOTA";5
"420720 IMARUI";2
"420730 IMBITUBA";76
"420740 IMBUIA";4
"420750 INDAIAL";72
"420757 IOMERE";1
"420765 IPORA DO OESTE";11
"420768 IPUACU";1
"420770 IPUMIRIM";1
"420775 IRACEMINHA";5
"420780 IRANI";12
"420785 IRATI";1
"420790 IRINEOPOLIS";10
"420800 ITA";4
"420810 ITAIOPOLIS";14
"420820 ITAJAI";550
"420830 ITAPEMA";83
"420840 ITAPIRANGA";7
"420845 ITAPOA";14
"420850 ITUPORANGA";50
"420870 JACINTO MACHADO";12
"420880 JAGUARUNA";21
"420890 JARAGUA DO SUL";477
"420895 JARDINOPOLIS";1
"420900 JOACABA";156
"420910 JOINVILLE";1155
"420915 JOSE BOITEUX";1
"420930 LAGES";256
"420940 LAGUNA";46
"420950 LAURENTINO";7
"420960 LAURO MULLER";18
"420970 LEBON REGIS";2
"420990 LONTRAS";11
"421000 LUIZ ALVES";11
"421003 LUZERNA";1
"421010 MAFRA";57
"421020 MAJOR GERCINO";1
"421040 MARACAJA";1
"421050 MARAVILHA";90
"421080 MELEIRO";8
"421090 MODELO";2
"421100 MONDAI";21
"421105 MONTE CARLO";1
"421110 MONTE CASTELO";9
"421120 MORRO DA FUMACA";17
"421125 MORRO GRANDE";1
"421130 NAVEGANTES";78
"421140 NOVA ERECHIM";8
"421145 NOVA ITABERABA";2
"421150 NOVA TRENTO";6
"421160 NOVA VENEZA";16
"421170 ORLEANS";17
"421175 OTACILIO COSTA";41
"421180 OURO";12
"421185 OURO VERDE";1
"421187 PAIAL";2
"421190 PALHOCA";118
"421200 PALMA SOLA";2
"421205 PALMEIRA";2
"421210 PALMITOS";10
"421220 PAPANDUVA";2
"421225 PASSO DE TORRES";7
"421230 PAULO LOPES";1
"421250 PENHA";18
"421265 PESCARIA BRAVA";4
"421280 BALNEARIO PICARRAS";18
"421290 PINHALZINHO";50
"421315 PLANALTO ALEGRE";3
"421320 POMERODE";35
"421330 PONTE ALTA";3
"421335 PONTE ALTA DO NORTE";3
"421340 PONTE SERRADA";1
"421350 PORTO BELO";18
"421360 PORTO UNIAO";55
"421370 POUSO REDONDO";19
"421380 PRAIA GRANDE";4
"421400 PRESIDENTE GETULIO";18
"421410 PRESIDENTE NEREU";2
"421420 QUILOMBO";11
"421440 RIO DAS ANTAS";5
"421450 RIO DO CAMPO";4
"421460 RIO DO OESTE";4
"421470 RIO DOS CEDROS";4
"421480 RIO DO SUL";267
"421490 RIO FORTUNA";7
"421500 RIO NEGRINHO";30
"421505 RIO RUFINO";1
"421507 RIQUEZA";2
"421510 RODEIO";3
"421520 ROMELANDIA";1
"421530 SALETE";11
"421545 SANGAO";10
"421550 SANTA CECILIA";13
"421560 SANTA ROSA DE LIMA";1
"421565 SANTA ROSA DO SUL";4
"421568 SANTA TEREZINHA DO PROGRESSO";1
"421570 SANTO AMARO DA IMPERATRIZ";14
"421575 SAO BERNARDINO";2
"421580 SAO BENTO DO SUL";70
"421590 SAO BONIFACIO";4
"421600 SAO CARLOS";19
"421605 SAO CRISTOVAO DO SUL";1
"421610 SAO DOMINGOS";2
"421620 SAO FRANCISCO DO SUL";17
"421625 SAO JOAO DO OESTE";6
"421630 SAO JOAO BATISTA";23
"421635 SAO JOAO DO ITAPERIU";3
"421640 SAO JOAO DO SUL";8
"421650 SAO JOAQUIM";18
"421660 SAO JOSE";275
"421670 SAO JOSE DO CEDRO";6
"421680 SAO JOSE DO CERRITO";2
"421690 SAO LOURENCO DO OESTE";44
"421700 SAO LUDGERO";5
"421710 SAO MARTINHO";1
"421720 SAO MIGUEL DO OESTE";213
"421730 SAUDADES";8
"421740 SCHROEDER";19
"421750 SEARA";9
"421755 SERRA ALTA";3
"421760 SIDEROPOLIS";8
"421770 SOMBRIO";54
"421780 TAIO";21
"421790 TANGARA";8
"421795 TIGRINHOS";1
"421800 TIJUCAS";31
"421810 TIMBE DO SUL";7
"421820 TIMBO";128
"421825 TIMBO GRANDE";1
"421830 TRES BARRAS";11
"421835 TREVISO";4
"421840 TREZE DE MAIO";1
"421850 TREZE TILIAS";8
"421860 TROMBUDO CENTRAL";13
"421870 TUBARAO";163
"421875 TUNAPOLIS";11
"421880 TURVO";46
"421885 UNIAO DO OESTE";2
"421890 URUBICI";5
"421895 URUPEMA";1
"421900 URUSSANGA";19
"421910 VARGEAO";2
"421920 VIDAL RAMOS";9
"421930 VIDEIRA";60
"421935 VITOR MEIRELES";8
"421940 WITMARSUM";4
"421950 XANXERE";114
"421970 XAXIM";28
"421985 ZORTEA";3
"422000 BALNEARIO RINCAO";5
"430003 ACEGUA";1
"430010 AGUDO";15
"430020 AJURICABA";3
"430040 ALEGRETE";71
"430045 ALEGRIA";6
"430050 ALPESTRE";1
"430060 ALVORADA";60
"430070 ANTA GORDA";7
"430080 ANTONIO PRADO";16
"430085 ARAMBARE";3
"430087 ARARICA";2
"430090 ARATIBA";5
"430100 ARROIO DO MEIO";25
"430105 ARROIO DO SAL";4
"430107 ARROIO DO PADRE";1
"430110 ARROIO DOS RATOS";9
"430120 ARROIO DO TIGRE";2
"430130 ARROIO GRANDE";20
"430140 ARVOREZINHA";1
"430150 AUGUSTO PESTANA";10
"430155 AUREA";2
"430160 BAGE";104
"430165 BARAO";5
"430170 BARAO DE COTEGIPE";3
"430175 BARAO DO TRIUNFO";1
"430180 BARRACAO";4
"430187 BARRA DO QUARAI";1
"430190 BARRA DO RIBEIRO";11
"430200 BARROS CASSAL";5
"430205 BENJAMIN CONSTANT DO SUL";1
"430210 BENTO GONCALVES";345
"430215 BOA VISTA DAS MISSOES";1
"430220 BOA VISTA DO BURICA";12
"430222 BOA VISTA DO CADEADO";6
"430230 BOM JESUS";2
"430235 BOM PRINCIPIO";5
"430240 BOM RETIRO DO SUL";1
"430245 BOQUEIRAO DO LEAO";3
"430250 BOSSOROCA";1
"430270 BUTIA";9
"430280 CACAPAVA DO SUL";21
"430290 CACEQUI";9
"430300 CACHOEIRA DO SUL";77
"430310 CACHOEIRINHA";43
"430340 CAICARA";1
"430350 CAMAQUA";37
"430355 CAMARGO";22
"430370 CAMPINA DAS MISSOES";3
"430380 CAMPINAS DO SUL";6
"430390 CAMPO BOM";11
"430400 CAMPO NOVO";1
"430420 CANDELARIA";19
"430430 CANDIDO GODOI";1
"430435 CANDIOTA";7
"430440 CANELA";14
"430450 CANGUCU";24
"430460 CANOAS";801
"430462 CAPAO BONITO DO SUL";1
"430463 CAPAO DA CANOA";60
"430465 CAPAO DO CIPO";1
"430466 CAPAO DO LEAO";2
"430467 CAPIVARI DO SUL";4
"430470 CARAZINHO";174
"430471 CARAA";6
"430480 CARLOS BARBOSA";34
"430490 CASCA";18
"430495 CASEIROS";2
"430500 CATUIPE";2
"430510 CAXIAS DO SUL";876
"430511 CENTENARIO";1
"430513 CERRO BRANCO";2
"430520 CERRO LARGO";6
"430530 CHAPADA";6
"430535 CHARQUEADAS";36
"430540 CHIAPETTA";2
"430543 CHUI";1
"430544 CHUVISCA";5
"430545 CIDREIRA";6
"430558 COLINAS";1
"430580 CONSTANTINA";5
"430585 COQUEIROS DO SUL";1
"430600 CRISSIUMAL";16
"430605 CRISTAL";8
"430607 CRISTAL DO SUL";1
"430610 CRUZ ALTA";46
"430613 CRUZALTENSE";1
"430620 CRUZEIRO DO SUL";3
"430630 DAVID CANABARRO";2
"430637 DILERMANDO DE AGUIAR";2
"430640 DOIS IRMAOS";70
"430650 DOM FELICIANO";9
"430660 DOM PEDRITO";27
"430673 DOUTOR MAURICIO CARDOSO";1
"430675 DOUTOR RICARDO";2
"430676 ELDORADO DO SUL";13
"430680 ENCANTADO";40
"430690 ENCRUZILHADA DO SUL";6
"430695 ENTRE RIOS DO SUL";1
"430700 ERECHIM";375
"430720 ERVAL GRANDE";3
"430730 ERVAL SECO";10
"430750 ESPUMOSO";13
"430755 ESTACAO";11
"430760 ESTANCIA VELHA";19
"430770 ESTEIO";77
"430780 ESTRELA";43
"430781 ESTRELA VELHA";1
"430786 FAGUNDES VARELA";2
"430790 FARROUPILHA";112
"430800 FAXINAL DO SOTURNO";19
"430810 FELIZ";17
"430820 FLORES DA CUNHA";26
"430840 FORMIGUEIRO";2
"430843 FORQUETINHA";1
"430845 FORTALEZA DOS VALOS";1
"430850 FREDERICO WESTPHALEN";26
"430860 GARIBALDI";96
"430870 GAURAMA";15
"430880 GENERAL CAMARA";2
"430890 GETULIO VARGAS";19
"430900 GIRUA";18
